stamp,pwm,velocity,steering_angle,joy_axes,joy_buttons
1734795092.7917383,660000,nan,nan,"[]","[]"
1734795092.792872,660000,nan,560000,"[]","[]"
1734795092.7993631,660000,0.0,560000,"[]","[]"
1734795092.8695657,660000,0.0,560000,"[]","[]"
1734795092.8915622,660000,0.0,560000,"[]","[]"
1734795092.8929062,660000,0.0,560000,"[]","[]"
1734795092.9405909,660000,0.0,560000,"[]","[]"
1734795092.9916406,660000,0.0,560000,"[]","[]"
1734795092.9930196,660000,0.0,560000,"[]","[]"
1734795093.0098658,660000,0.0,560000,"[]","[]"
1734795093.0797982,660000,0.0,560000,"[]","[]"
1734795093.0920408,660000,0.0,560000,"[]","[]"
1734795093.0930724,660000,0.0,560000,"[]","[]"
1734795093.1497297,660000,0.0,560000,"[]","[]"
1734795093.1919787,660000,0.0,560000,"[]","[]"
1734795093.1934953,660000,0.0,560000,"[]","[]"
1734795093.2202864,660000,0.0,560000,"[]","[]"
1734795093.2898862,660000,0.0,560000,"[]","[]"
1734795093.293283,660000,0.0,560000,"[]","[]"
1734795093.294216,660000,0.0,560000,"[]","[]"
1734795093.3610847,660000,0.0,560000,"[]","[]"
1734795093.3921041,660000,0.0,560000,"[]","[]"
1734795093.393754,660000,0.0,560000,"[]","[]"
1734795093.4297628,660000,0.0,560000,"[]","[]"
1734795093.492782,660000,0.0,560000,"[]","[]"
1734795093.493874,660000,0.0,560000,"[]","[]"
1734795093.4995499,660000,0.0,560000,"[]","[]"
1734795093.5697196,660000,0.0,560000,"[]","[]"
1734795093.5919943,660000,0.0,560000,"[]","[]"
1734795093.5934377,660000,0.0,560000,"[]","[]"
1734795093.6397667,660000,0.0,560000,"[]","[]"
1734795093.6922855,660000,0.0,560000,"[]","[]"
1734795093.6938133,660000,0.0,560000,"[]","[]"
1734795093.7094042,660000,0.0,560000,"[]","[]"
1734795093.779571,660000,0.0,560000,"[]","[]"
1734795093.791986,660000,0.0,560000,"[]","[]"
1734795093.7934213,660000,0.0,560000,"[]","[]"
1734795093.8499007,660000,0.0,560000,"[]","[]"
1734795093.892549,660000,0.0,560000,"[]","[]"
1734795093.8936656,660000,0.0,560000,"[]","[]"
1734795093.919986,660000,0.0,560000,"[]","[]"
1734795093.9898446,660000,0.0,560000,"[]","[]"
1734795093.9920578,660000,0.0,560000,"[]","[]"
1734795093.9934292,660000,0.0,560000,"[]","[]"
1734795094.0604289,660000,0.0,560000,"[]","[]"
1734795094.09209,660000,0.0,560000,"[]","[]"
1734795094.0935829,660000,0.0,560000,"[]","[]"
1734795094.1294456,660000,0.0,560000,"[]","[]"
1734795094.1925657,660000,0.0,560000,"[]","[]"
1734795094.1948602,660000,0.0,560000,"[]","[]"
1734795094.1995518,660000,0.0,560000,"[]","[]"
1734795094.2696538,660000,0.0,560000,"[]","[]"
1734795094.2920966,660000,0.0,560000,"[]","[]"
1734795094.2935264,660000,0.0,560000,"[]","[]"
1734795094.3397732,660000,0.0,560000,"[]","[]"
1734795094.3934586,660000,0.0,560000,"[]","[]"
1734795094.393972,660000,0.0,560000,"[]","[]"
1734795094.4098015,660000,0.0,560000,"[]","[]"
1734795094.4799213,660000,0.0,560000,"[]","[]"
1734795094.4921615,660000,0.0,560000,"[]","[]"
1734795094.4936502,660000,0.0,560000,"[]","[]"
1734795094.5497258,660000,0.0,560000,"[]","[]"
1734795094.5922358,660000,0.0,560000,"[]","[]"
1734795094.5943308,660000,0.0,560000,"[]","[]"
1734795094.6197731,660000,0.0,560000,"[]","[]"
1734795094.6900558,660000,0.0,560000,"[]","[]"
1734795094.69349,660000,0.0,560000,"[]","[]"
1734795094.694584,660000,0.0,560000,"[]","[]"
1734795094.7600539,660000,0.0,560000,"[]","[]"
1734795094.7928343,660000,0.0,560000,"[]","[]"
1734795094.7937236,660000,0.0,560000,"[]","[]"
1734795094.8303802,660000,0.0,560000,"[]","[]"
1734795094.8920891,660000,0.0,560000,"[]","[]"
1734795094.8935761,660000,0.0,560000,"[]","[]"
1734795094.89981,660000,0.0,560000,"[]","[]"
1734795094.9697993,660000,0.0,560000,"[]","[]"
1734795094.9928515,660000,0.0,560000,"[]","[]"
1734795094.9941344,660000,0.0,560000,"[]","[]"
1734795095.039909,660000,0.0,560000,"[]","[]"
1734795095.092069,660000,0.0,560000,"[]","[]"
1734795095.0932262,660000,0.0,560000,"[]","[]"
1734795095.1100166,660000,0.0,560000,"[]","[]"
1734795095.1798282,660000,0.0,560000,"[]","[]"
1734795095.192123,660000,0.0,560000,"[]","[]"
1734795095.1933634,660000,0.0,560000,"[]","[]"
1734795095.2503006,660000,0.039560265839099884,560000,"[]","[]"
1734795095.2937796,660000,0.039560265839099884,560000,"[]","[]"
1734795095.2942488,660000,0.039560265839099884,560000,"[]","[]"
1734795095.3198502,660000,0.0,560000,"[]","[]"
1734795095.3898168,660000,0.0,560000,"[]","[]"
1734795095.3920908,660000,0.0,560000,"[]","[]"
1734795095.3935087,660000,0.0,560000,"[]","[]"
1734795095.4600604,660000,0.0,560000,"[]","[]"
1734795095.4925246,660000,0.0,560000,"[]","[]"
1734795095.4931161,660000,0.0,560000,"[]","[]"
1734795095.5300074,660000,0.0,560000,"[]","[]"
