stamp,pwm,velocity,steering_angle,distance,has_target,target_center_offset,control
1734795494.3071725,660000,0.0,566243,0.2201656699180603,True,-1,660000.0
1734795494.3636863,660000,0.0,572232,0.26291489601135254,True,0,660000.0
1734795494.4301808,715000,0.0,569984,0.2621380090713501,True,0,715000.0
1734795494.5009232,585000,0.0,572226,0.24625271558761597,True,0,585000.0
1734795494.8142166,660000,0.4842577874660492,568474,0.2582944631576538,True,-1,660000.0
1734795495.0526116,660000,0.0,568468,0.12496500462293625,True,-1,660000.0
1734795495.3669703,660000,0.0,568459,0.2573540210723877,True,-1,660000.0
1734795495.6810112,660000,0.0,568450,0.2589486837387085,True,-1,660000.0
1734795496.0569813,585000,0.0,579660,0.25778335332870483,True,2,585000.0
1734795496.2090628,660000,0.0,575932,0.23762518167495728,True,1,660000.0
1734795496.3552215,660000,0.0,563957,0.270663321018219,True,-1,660000.0
1734795496.606416,715000,0.0,566940,0.27058154344558716,True,-2,715000.0
1734795497.230061,585000,1.8063929080963135,594023,0.10968416929244995,True,13,585000.0
1734795498.5529902,660000,0.0,560000,0.1782955527305603,False,-2,660000.0
1734795498.6805727,660000,0.0,547915,0.25334692001342773,True,-10,660000.0
1734795498.8627508,715000,0.0,509620,0.44738465547561646,True,-28,715000.0
1734795499.0291193,717124,0.0,527434,0.519389808177948,True,-28,717124.375
1734795499.20986,718118,0.0,516035,0.5790261030197144,True,-34,718118.5
1734795499.5192719,719063,5.062495708465576,519474,0.45666640996932983,True,-33,719063.4375
1734795499.7087288,585000,2.8150556087493896,534292,0.31300365924835205,True,-26,585000.0
1734795499.883242,660000,2.6774187088012695,540933,0.1840813159942627,True,-20,660000.0
1734795500.2009127,660000,0.0,542281,0.11542904376983643,True,-15,660000.0
1734795500.252429,660000,0.0,540751,0.11745303869247437,True,-17,660000.0
1734795500.3108244,660000,0.0,544470,0.08083713054656982,True,-16,660000.0
1734795500.3711832,660000,0.0,546682,0.1220734715461731,True,-16,660000.0
1734795500.4384007,715000,0.0,546648,0.1219712495803833,True,-16,715000.0
1734795500.509231,585000,0.0,538384,0.12920856475830078,True,-17,585000.0
1734795500.5787969,660000,0.0,539091,0.1343401074409485,True,-18,660000.0
1734795500.648767,660000,0.0,536052,0.15410983562469482,True,-20,660000.0
1734795500.7184749,715000,0.0,535253,0.18992841243743896,True,-22,715000.0
1734795500.788653,585000,0.0,524714,0.17911332845687866,True,-26,585000.0
1734795500.8610127,715000,0.0,526120,0.19724750518798828,True,-28,715000.0
1734795500.9299858,715000,0.13531990349292755,520815,0.21421635150909424,True,-30,715000.0
1734795500.9988718,585000,1.2671141624450684,523001,0.22417277097702026,True,-30,585000.0
1734795501.0686018,715000,0.0,527462,0.23441541194915771,True,-30,715000.0
1734795501.138067,715000,1.223419189453125,522878,0.20681548118591309,True,-30,715000.0
1734795501.2085302,585000,0.0,525060,0.2226598858833313,True,-30,585000.0
1734795501.2796743,660000,0.0,528004,0.2167310118675232,True,-28,660000.0
1734795501.350122,715000,0.0,524202,0.20947325229644775,True,-29,715000.0
1734795501.4206536,660000,0.4407016634941101,524144,0.20736747980117798,True,-29,585000.0
1734795501.4890919,660000,0.0,520340,0.20301282405853271,True,-30,660000.0
1734795501.5603335,660000,0.0,525529,0.20060038566589355,True,-28,660000.0
1734795501.6311178,660000,0.0,521696,0.2023177146911621,True,-29,660000.0
1734795501.698568,660000,0.0,525387,0.20248126983642578,True,-28,660000.0
1734795501.7685366,660000,0.0,525331,0.19841283559799194,True,-28,660000.0
1734795501.8385317,660000,0.0,527518,0.2005799412727356,True,-28,660000.0
1734795501.9090047,660000,0.0,525218,0.2069585919380188,True,-28,660000.0
1734795502.0185494,660000,0.0,525134,0.09765129536390305,True,-28,660000.0
1734795502.0888815,660000,0.0,525078,0.17424756288528442,True,-28,660000.0
1734795502.16369,660000,0.0,525021,0.20593637228012085,True,-28,660000.0
1734795502.2330112,715000,0.0,521933,0.2160767912864685,True,-30,715000.0
1734795502.2994182,715198,0.0,515889,0.24790871143341064,True,-31,715198.6875
1734795502.3696795,715000,0.0,515062,0.27467042207717896,True,-33,715000.0
1734795502.439179,585000,0.0,517981,0.2928045988082886,True,-34,585000.0
1734795502.5090408,715000,0.11450120806694031,511925,0.31050944328308105,True,-35,715000.0
1734795502.579068,715360,0.0,517849,0.22429543733596802,True,-34,715360.5
1734795502.650745,715373,0.7210444808006287,519278,0.307033896446228,True,-33,715373.0
1734795502.7200305,585000,0.0,516968,0.3018001317977905,True,-33,585000.0
1734795502.7888582,715000,1.092885136604309,524400,0.31574320793151855,True,-31,715000.0
1734795502.8601265,585000,0.0,523590,0.3187076449394226,True,-30,585000.0
1734795502.9307177,715000,1.0744788646697998,523596,0.3170720934867859,True,-28,715000.0
1734795502.9993536,585000,1.2238495349884033,530956,0.27317798137664795,True,-25,585000.0
1734795503.0705576,660000,0.0,532391,0.2977316975593567,True,-24,660000.0
1734795503.1407669,715000,0.0,531607,0.29930591583251953,True,-23,660000.0
1734795503.209106,715014,0.7467097043991089,535304,0.3072383403778076,True,-22,715014.25
1734795503.2804568,585000,0.0,533017,0.3117769956588745,True,-22,585000.0
1734795503.349456,715059,0.0,538219,0.22323232889175415,True,-20,715059.5
1734795503.4191475,715073,0.0,550962,0.3372507095336914,True,-16,715073.5625
